target,train_dataset,test_dataset,model,feature_extractor,augmentations,seed,train_auroc,val_auroc,test_auroc
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,0,0.779892086982727,0.8000197410583496,0.7612792253494263
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,1,0.8272997140884399,0.7938042879104614,0.7481439113616943
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,2,0.8150081634521484,0.8088003396987915,0.77384352684021
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,3,0.844733476638794,0.801499605178833,0.7498571872711182
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,4,0.7836396098136902,0.8005130290985107,0.7549971342086792
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_slidewise,0,0.7758959531784058,0.7479281425476074,0.6727584600448608
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_slidewise,1,0.7987022995948792,0.7395422458648682,0.7230154275894165
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_slidewise,2,0.8035959005355835,0.7707182168960571,0.6833238005638123
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_slidewise,3,0.7820508480072021,0.788673996925354,0.7664191722869873
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_slidewise,4,0.792474627494812,0.7524664402008057,0.7529982924461365
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,all,0,0.8029288649559021,0.7674624919891357,0.7013135552406311
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,all,1,0.6714147329330444,0.7365825176239014,0.7367218732833862
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,all,2,0.6558668613433838,0.769336998462677,0.6778983473777771
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,all,3,0.849166214466095,0.7582873106002808,0.7098801136016846
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,all,4,0.8692984580993652,0.773776650428772,0.7367218732833862
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,0,0.8764113783836365,0.8040647506713867,0.756710410118103
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,1,0.8682372570037842,0.7843331098556519,0.7053112387657166
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,2,0.6159602403640747,0.7951854467391968,0.7292975187301636
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,3,0.8058880567550659,0.8071231245994568,0.7213021516799927
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,4,0.7719846963882446,0.7330307364463806,0.7184466123580933
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,simple_rotate,0,0.8047723174095154,0.7648974061012268,0.774985671043396
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,simple_rotate,1,0.8180341124534607,0.757103443145752,0.7161622047424316
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,simple_rotate,2,0.6089138984680176,0.7849249839782715,0.7498571872711182
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,simple_rotate,3,0.817633867263794,0.8223164677619934,0.7247287034988403
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,simple_rotate,4,0.7746831774711609,0.7663772106170654,0.733295202255249
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,0,0.7658965587615967,0.6845896244049072,0.6236436367034912
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,1,0.8354314565658569,0.73638516664505,0.6644774675369263
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,2,0.7569886445999146,0.6692975759506226,0.5973729491233826
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,3,0.7672184705734253,0.6854774951934814,0.642490029335022
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,4,0.7797465324401855,0.7000789642333984,0.5653911828994751
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_slidewise,0,0.7597901821136475,0.7017561197280884,0.5779554843902588
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_slidewise,1,0.6612334251403809,0.6633780002593994,0.5682467222213745
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_slidewise,2,0.7370747327804565,0.676598310470581,0.5888063907623291
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_slidewise,3,0.8201200366020203,0.6803472638130188,0.6807538270950317
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_slidewise,4,0.7691831588745117,0.6921862363815308,0.625356912612915
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,all,0,0.7990540266036987,0.7123125791549683,0.7412906885147095
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,all,1,0.7461645603179932,0.7012628316879272,0.7384351491928101
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,all,2,0.7624098062515259,0.7496054172515869,0.7687035799026489
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,all,3,0.7427080869674683,0.6947513818740845,0.7441462278366089
