magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.00785017
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.02234298
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.037222207
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.009057999
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.013774037
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.009308457
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0068027377
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0077192783
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.028000057
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.032513857
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0044643283
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.014547825
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.009973347
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.023888946
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.026000023
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.02992022
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.010555565
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.008643627
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0076530576
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.018719852
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.011937559
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.026752234
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.013605416
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.015256524
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.017929435
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.024154663
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.049516857
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0005556345
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.045289814
low,ctranspath,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.00091826916
