magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05727768
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.019115925
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.021130681
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.043500006
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.037531257
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.017272592
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0015431643
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10175204
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.06357479
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.013616502
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04952383
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.045871496
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.06253004
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.012550414
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05002606
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.070476174
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.051886797
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.16103518
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.113078296
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.023157954
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11500001
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.01849997
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.043269277
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.12506509
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.06500006
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.20283014
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.14058137
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.118789375
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.056499958
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.13427854
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.16818178
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.25385803
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.02088952
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.07347566
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.062636256
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.09142858
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.17764807
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.13035107
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.12998658
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.1672746
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.21396819
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.29716986
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.15240836
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.18275273
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.17726317
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.13999999
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.12949997
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.060096145
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.102657616
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.015999913
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.045822144
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.06332135
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.067961216
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.053499997
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.02418685
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.08181816
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.033179045
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.052560687
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.045336187
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.08551198
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.03174597
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.098415375
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.038961053
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.102196336
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.020323098
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.06603181
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.028301954
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.021567225
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.055968046
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.033263147
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0065000057
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.061500072
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.014423072
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.011464357
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.093000054
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.02156341
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.024293125
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.03255278
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.16699994
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0008339882
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.049090922
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.059413552
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.086927235
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.099530995
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.16285408
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.028571367
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.013344407
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04425198
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.02330792
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.011985421
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0088889
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.026280284
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.05176127
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.015990973
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05684209
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04549998
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.015000045
high,dino_p16,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.000600934
