feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,SMAD4,0.0026595592
swin,AttentionMIL,low,SMAD4,0.06037414
swin,AttentionMIL,low,SMAD4,0.09833473
swin,AttentionMIL,low,SMAD4,0.03759402
swin,AttentionMIL,low,SMAD4,-0.009672642
swin,AttentionMIL,low,SMAD4,0.07499999
swin,AttentionMIL,low,SMAD4,0.022956789
swin,AttentionMIL,low,SMAD4,0.020821333
swin,AttentionMIL,low,SMAD4,0.18646693
swin,AttentionMIL,low,SMAD4,0.017121434
swin,AttentionMIL,low,SMAD4,-0.040979505
swin,AttentionMIL,low,SMAD4,-0.07147372
swin,AttentionMIL,low,SMAD4,0.014035046
swin,AttentionMIL,low,SMAD4,-0.108377665
swin,AttentionMIL,low,SMAD4,0.09754163
swin,AttentionMIL,low,SMAD4,-0.20994788
swin,AttentionMIL,low,SMAD4,0.08406028
swin,AttentionMIL,low,SMAD4,-0.036000013
swin,AttentionMIL,low,SMAD4,-0.016368985
swin,AttentionMIL,low,SMAD4,-0.16055554
swin,AttentionMIL,low,SMAD4,-0.11533815
swin,AttentionMIL,low,SMAD4,-0.11833334
swin,AttentionMIL,low,SMAD4,-0.16023937
swin,AttentionMIL,low,SMAD4,-0.15087715
swin,AttentionMIL,low,SMAD4,-0.10305852
swin,AttentionMIL,low,SMAD4,-0.17553186
swin,AttentionMIL,low,SMAD4,-0.051870763
swin,AttentionMIL,low,SMAD4,0.00793016
swin,AttentionMIL,low,SMAD4,-0.14632738
swin,AttentionMIL,low,SMAD4,-0.12723213
swin,AttentionMIL,low,SMAD4,0.004999995
swin,AttentionMIL,low,SMAD4,-0.10376489
swin,AttentionMIL,low,SMAD4,-0.11278194
swin,AttentionMIL,low,SMAD4,0.0077478886
swin,AttentionMIL,low,SMAD4,-0.15302294
swin,AttentionMIL,low,SMAD4,-0.07546228
swin,AttentionMIL,low,SMAD4,-0.2637571
swin,AttentionMIL,low,SMAD4,-0.12912285
swin,AttentionMIL,low,SMAD4,0.07380319
swin,AttentionMIL,low,SMAD4,0.038858056
swin,AttentionMIL,low,SMAD4,0.20936954
swin,AttentionMIL,low,SMAD4,0.20856467
swin,AttentionMIL,low,SMAD4,0.11799997
swin,AttentionMIL,low,SMAD4,0.064732194
swin,AttentionMIL,low,SMAD4,0.11277777
swin,AttentionMIL,low,SMAD4,0.025362313
swin,AttentionMIL,low,SMAD4,0.092222214
swin,AttentionMIL,low,SMAD4,0.06316489
swin,AttentionMIL,low,SMAD4,0.09263164
swin,AttentionMIL,low,SMAD4,0.17353722
swin,AttentionMIL,low,SMAD4,0.20678186
