feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,SMAD4,-0.014880896
swin,AttentionMIL,low,SMAD4,-0.08611101
swin,AttentionMIL,low,SMAD4,-0.035024226
swin,AttentionMIL,low,SMAD4,0.003888905
swin,AttentionMIL,low,SMAD4,-0.107712746
swin,AttentionMIL,low,SMAD4,0.014035046
swin,AttentionMIL,low,SMAD4,-0.13364363
swin,AttentionMIL,low,SMAD4,-0.13896284
swin,AttentionMIL,low,SMAD4,-0.080782294
swin,AttentionMIL,low,SMAD4,-0.07613015
swin,AttentionMIL,low,SMAD4,-0.048004627
swin,AttentionMIL,low,SMAD4,-0.09970242
swin,AttentionMIL,low,SMAD4,-0.040555477
swin,AttentionMIL,low,SMAD4,-0.058769584
swin,AttentionMIL,low,SMAD4,-0.06882593
swin,AttentionMIL,low,SMAD4,-0.16528928
swin,AttentionMIL,low,SMAD4,-0.097378284
swin,AttentionMIL,low,SMAD4,-0.07846075
swin,AttentionMIL,low,SMAD4,-0.16192281
swin,AttentionMIL,low,SMAD4,-0.15017545
swin,AttentionMIL,low,lymph,0.08868098
swin,AttentionMIL,low,lymph,0.07055628
swin,AttentionMIL,low,lymph,0.07868123
swin,AttentionMIL,low,lymph,0.023736358
swin,AttentionMIL,low,lymph,-0.013957322
swin,AttentionMIL,low,lymph,-0.033992946
swin,AttentionMIL,low,lymph,0.02790469
swin,AttentionMIL,low,lymph,0.06283152
swin,AttentionMIL,low,lymph,0.10386026
swin,AttentionMIL,low,lymph,0.013649106
swin,AttentionMIL,low,lymph,0.031409204
swin,AttentionMIL,low,lymph,0.03152591
swin,AttentionMIL,low,lymph,0.064489424
swin,AttentionMIL,low,lymph,-0.018333316
swin,AttentionMIL,low,lymph,0.07232326
swin,AttentionMIL,low,lymph,0.01666677
swin,AttentionMIL,low,lymph,-0.0045955777
swin,AttentionMIL,low,lymph,0.13857144
swin,AttentionMIL,low,lymph,0.04457724
swin,AttentionMIL,low,lymph,0.10873437
swin,AttentionMIL,low,lymph,0.026481748
swin,AttentionMIL,low,lymph,0.030833364
swin,AttentionMIL,low,lymph,0.050434053
swin,AttentionMIL,low,lymph,0.091543496
swin,AttentionMIL,low,lymph,0.0
swin,AttentionMIL,low,lymph,0.0048701763
swin,AttentionMIL,low,lymph,-0.114972115
swin,AttentionMIL,low,lymph,-0.06293404
swin,AttentionMIL,low,lymph,-0.029513896
swin,AttentionMIL,low,lymph,-0.08494204
swin,AttentionMIL,low,lymph,-0.0081411
swin,AttentionMIL,low,lymph,-0.14975643
swin,AttentionMIL,low,lymph,-0.054166615
swin,AttentionMIL,low,lymph,-0.0046238303
swin,AttentionMIL,low,lymph,0.05595815
swin,AttentionMIL,low,lymph,-0.051127195
swin,AttentionMIL,low,lymph,0.00040066242
swin,AttentionMIL,low,lymph,0.084635496
swin,AttentionMIL,low,lymph,-0.02996707
swin,AttentionMIL,low,lymph,-0.117979765
swin,AttentionMIL,low,lymph,-0.05288464
swin,AttentionMIL,low,lymph,-0.122807026
swin,AttentionMIL,low,lymph,-0.09443778
