augmentations,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.14011675
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.15247715
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.092335284
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.13600832
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.18476188
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.13544482
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.18044579
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11422044
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.079578936
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.088
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.121499956
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.15925485
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.111516416
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04000002
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.03706193
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.015531719
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.01827526
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.027500033
